البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر
النيلُ العَذبُ هُوَ الكَوثَر وَالجَنَّةُ شاطِئُهُ الأَخضَر,وَالجَنَّةُ شاطِئُهُ الأَخضَر,النيلُ العَذبُ هُوَ الكَوثَر,المتدارك,أحمد شوقي
رَيّانُ الصَفحَةِ وَالمَنظَر ما أَبهى الخُلدَ وَما أَنضَر,ما أَبهى الخُلدَ وَما أَنضَر,رَيّانُ الصَفحَةِ وَالمَنظَر,المتدارك,أحمد شوقي
البَحرُ الفَيّاضُ القُدسُ الساقي الناسَ وَما غَرَسوا,الساقي الناسَ وَما غَرَسوا,البَحرُ الفَيّاضُ القُدسُ,المتدارك,أحمد شوقي
وَهوَ المِنوالُ لِما لَبِسوا وَالمُنعِمُ بِالقُطنِ الأَنوَر,وَالمُنعِمُ بِالقُطنِ الأَنوَر,وَهوَ المِنوالُ لِما لَبِسوا,المتدارك,أحمد شوقي
جَعلَ الإِحسانَ لَهُ شَرعا لَم يُخلِ الوادِيَ مِن مَرعى,لَم يُخلِ الوادِيَ مِن مَرعى,جَعلَ الإِحسانَ لَهُ شَرعا,المتدارك,أحمد شوقي
فَتَرى زَرعاً يَتلو زَرعا وَهُنا يُجنى وَهُنا يُبذَر,وَهُنا يُجنى وَهُنا يُبذَر,فَتَرى زَرعاً يَتلو زَرعا,المتدارك,أحمد شوقي
جارٍ وَيُرى لَيسَ بِجارِ لِأَناةٍ فيهِ وَوَقار,لِأَناةٍ فيهِ وَوَقار,جارٍ وَيُرى لَيسَ بِجارِ,المتدارك,أحمد شوقي
يَنصَبُّ كَتَلٍ مُنهارِ وَيَضِجُّ فَتَحسَبُهُ يَزأَر,وَيَضِجُّ فَتَحسَبُهُ يَزأَر,يَنصَبُّ كَتَلٍ مُنهارِ,المتدارك,أحمد شوقي
حَبَشِيُّ اللَونِ كَجيرَتِهِ مِن مَنبَعِهِ و بُحَيرَتِهِ,مِن مَنبَعِهِ و بُحَيرَتِهِ,حَبَشِيُّ اللَونِ كَجيرَتِهِ,المتدارك,أحمد شوقي
صَبَغَ الشَطَّينِ بِسُمرَتِهِ لَوناً كَالمِسكِ وَكَالعَنبَر,لَوناً كَالمِسكِ وَكَالعَنبَر,صَبَغَ الشَطَّينِ بِسُمرَتِهِ,المتدارك,أحمد شوقي
الصُّبْحُ بَدَا مِنْ طَلْعَتِهِ وَاللَّيْلُ دَجا مِنْ وَفْرَتِهِ,وَاللَّيْلُ دَجا مِنْ وَفْرَتِهِ,الصُّبْحُ بَدَا مِنْ طَلْعَتِهِ,المتدارك,البوصيري
فَاقَ الرُّسُلاَ فَضْلاً وَعُلاَ أَهْدَى السُّبُلاَ لِدَلاَلَتِهِ,أَهْدَى السُّبُلاَ لِدَلاَلَتِهِ,فَاقَ الرُّسُلاَ فَضْلاً وَعُلاَ,المتدارك,البوصيري
كَنْزُ الْكَرِيمِ مُوْلِي النِّعَمِ هَادِي الأُمَمِ لِشَرِيعَتِهِ,هَادِي الأُمَمِ لِشَرِيعَتِهِ,كَنْزُ الْكَرِيمِ مُوْلِي النِّعَمِ,المتدارك,البوصيري
أَذْكَى النَّسَبِ أَعْلَى الحَسَبِ كُلُّ العَرَبِ في خِدْمَتِهِ,كُلُّ العَرَبِ في خِدْمَتِهِ,أَذْكَى النَّسَبِ أَعْلَى الحَسَبِ,المتدارك,البوصيري
سَعَتِ الشَّجَرُ نَطَقَ الحَجَرُ شُقَّ القَمَرُ بإشَارَتِهِ,شُقَّ القَمَرُ بإشَارَتِهِ,سَعَتِ الشَّجَرُ نَطَقَ الحَجَرُ,المتدارك,البوصيري
جِبْرِيلُ أَتَى لَيْلَةَ أَسْرَى وَالرَّبُّ دَعَاهُ لِحَضْرَتِهِ,وَالرَّبُّ دَعَاهُ لِحَضْرَتِهِ,جِبْرِيلُ أَتَى لَيْلَةَ أَسْرَى,المتدارك,البوصيري
نالَ الشَّرَفَا وَاللهُ عَفَا عَمَّا سَلَفَا مِنْ أُمَّتِهِ,عَمَّا سَلَفَا مِنْ أُمَّتِهِ,نالَ الشَّرَفَا وَاللهُ عَفَا,المتدارك,البوصيري
فَمُحَمَّدُنا هُوَ سَيِّدُنا فالعِزُّ لَنا لإجَابَتِهِ,فالعِزُّ لَنا لإجَابَتِهِ,فَمُحَمَّدُنا هُوَ سَيِّدُنا,المتدارك,البوصيري
مَن ذا أَفتاكِ بِسَفكِ دَمي يا غُرَّةَ حَيِّ بَني جُشَمِ,يا غُرَّةَ حَيِّ بَني جُشَمِ,مَن ذا أَفتاكِ بِسَفكِ دَمي,المتدارك,ابن المقرب العيوني
فَتعالَي غَيرَ مُدافِعَةٍ نَقصُص رُؤياكِ عَلى حَكَمِ,نَقصُص رُؤياكِ عَلى حَكَمِ,فَتعالَي غَيرَ مُدافِعَةٍ,المتدارك,ابن المقرب العيوني
أَبِنَظرَةِ عَينٍ عَن خَطأٍ عَرَضَت بِالعَمدِ يُراقُ دَمي,عَرَضَت بِالعَمدِ يُراقُ دَمي,أَبِنَظرَةِ عَينٍ عَن خَطأٍ,المتدارك,ابن المقرب العيوني
إِن كان جَنى طَرفي فَلَقَد يَكفيهِ مَقالُكِ لا تَنَمِ,يَكفيهِ مَقالُكِ لا تَنَمِ,إِن كان جَنى طَرفي فَلَقَد,المتدارك,ابن المقرب العيوني
فَذَري الواشينَ فَقَد نَطَقُوا زُوراً وَهُمُ شَرُّ الأُمَمِ,زُوراً وَهُمُ شَرُّ الأُمَمِ,فَذَري الواشينَ فَقَد نَطَقُوا,المتدارك,ابن المقرب العيوني
زَعَمُوا أَنّي بِسِوائِكُمُ كَلِفٌ كَذَبُوا في زَعمِهِمِ,كَلِفٌ كَذَبُوا في زَعمِهِمِ,زَعَمُوا أَنّي بِسِوائِكُمُ,المتدارك,ابن المقرب العيوني
إِن كُنتُ أَجَلتُ بِغَيرِكُمُ طَرفي أَبغي بَدَلاً فَعَمي,طَرفي أَبغي بَدَلاً فَعَمي,إِن كُنتُ أَجَلتُ بِغَيرِكُمُ,المتدارك,ابن المقرب العيوني
أَو كُنتُ نَطَقتُ بِثَلبِكُمُ يَوماً في الناسِ فَفُضَّ فَمي,يَوماً في الناسِ فَفُضَّ فَمي,أَو كُنتُ نَطَقتُ بِثَلبِكُمُ,المتدارك,ابن المقرب العيوني
أَو كُنتُ نَصَبتُ لِغائِبِكُم سَمعاً فَبَقيتُ أَخا صَمَمِ,سَمعاً فَبَقيتُ أَخا صَمَمِ,أَو كُنتُ نَصَبتُ لِغائِبِكُم,المتدارك,ابن المقرب العيوني
أَو لاقَ لِقَلبي بَعدَكُمُ خِلّاً فَخُلِقتُ أَخا سَقَمِ,خِلّاً فَخُلِقتُ أَخا سَقَمِ,أَو لاقَ لِقَلبي بَعدَكُمُ,المتدارك,ابن المقرب العيوني
أَو كُنتُ مَشَيتُ بِسَيِّئَةٍ فَيكُم فَثَكِلتُ لَها قَدَمي,فَيكُم فَثَكِلتُ لَها قَدَمي,أَو كُنتُ مَشَيتُ بِسَيِّئَةٍ,المتدارك,ابن المقرب العيوني
يا طِيبَ الوَصلِ وَدارُ الحَيِّ بِحَيثُ الأَبطَحُ ذُو الحَرَمِ,بِحَيثُ الأَبطَحُ ذُو الحَرَمِ,يا طِيبَ الوَصلِ وَدارُ الحَيِّ,المتدارك,ابن المقرب العيوني
وَالدَهرُ بِعَينَيهِ سَدَرٌ عَن شَملِ الحَيِّ المُلتَئِمِ,عَن شَملِ الحَيِّ المُلتَئِمِ,وَالدَهرُ بِعَينَيهِ سَدَرٌ,المتدارك,ابن المقرب العيوني
نَغدُو وَنَروحُ وَمَذهَبُنا شُربُ الصَهباءِ عَلى النَغَمِ,شُربُ الصَهباءِ عَلى النَغَمِ,نَغدُو وَنَروحُ وَمَذهَبُنا,المتدارك,ابن المقرب العيوني
وَأَزُورُ الحِبَّ عَلانِيَةً وَيَزُورُ جَنابي عَن أَمَمِ,وَيَزُورُ جَنابي عَن أَمَمِ,وَأَزُورُ الحِبَّ عَلانِيَةً,المتدارك,ابن المقرب العيوني
كَم لَيلٍ بِتُّ أُفاكِهُهُ فَحَشاً لِحَشاً وَفَماً لِفَمِ,فَحَشاً لِحَشاً وَفَماً لِفَمِ,كَم لَيلٍ بِتُّ أُفاكِهُهُ,المتدارك,ابن المقرب العيوني
وَأُعَلِّلُهُ وَيُعَلِّلُني مِن ذِي أَشَرٍ عَذبٍ شَبِمِ,مِن ذِي أَشَرٍ عَذبٍ شَبِمِ,وَأُعَلِّلُهُ وَيُعَلِّلُني,المتدارك,ابن المقرب العيوني
وَالمالُ يَمُدُّ رُواقَ السِت رِ عَلى المُثرينَ مِنَ التُهَمِ,رِ عَلى المُثرينَ مِنَ التُهَمِ,وَالمالُ يَمُدُّ رُواقَ السِت,المتدارك,ابن المقرب العيوني
فَتَرى الرُقباءَ طَلائِعَنا وَشُهُودَ العِفَّةِ وَالكَرَمِ,وَشُهُودَ العِفَّةِ وَالكَرَمِ,فَتَرى الرُقباءَ طَلائِعَنا,المتدارك,ابن المقرب العيوني
سُقياً لِلَيالي اللَهوِ لَقَد كانَت وَتَوَلَّت كَالحُلمِ,كانَت وَتَوَلَّت كَالحُلمِ,سُقياً لِلَيالي اللَهوِ لَقَد,المتدارك,ابن المقرب العيوني
يا خُضرَتَها يا نضرَتَها ياحَسَرَتها إِذ لَم تَدُمِ,ياحَسَرَتها إِذ لَم تَدُمِ,يا خُضرَتَها يا نضرَتَها,المتدارك,ابن المقرب العيوني
إِذ لَيسَ البِيضُ تُؤَنِّبُني بِمَشيبٍ لاحَ وَلا عَدَمِ,بِمَشيبٍ لاحَ وَلا عَدَمِ,إِذ لَيسَ البِيضُ تُؤَنِّبُني,المتدارك,ابن المقرب العيوني
ساوَت في الحُسنِ زَمانَ المَل كِ عِمادِ الدِّينِ حَيا الأُمَمِ,كِ عِمادِ الدِّينِ حَيا الأُمَمِ,ساوَت في الحُسنِ زَمانَ المَل,المتدارك,ابن المقرب العيوني
مَسعُودِ الخَيلِ نَقِيِّ الذَي لِ سَنِيِّ النَيلِ لَدى القُحَمِ,لِ سَنِيِّ النَيلِ لَدى القُحَمِ,مَسعُودِ الخَيلِ نَقِيِّ الذَي,المتدارك,ابن المقرب العيوني
مَلِكٌ أَحيا بِمَواهِبِهِ قَتلى الإِملاقِ مِنَ الرِّمَمِ,قَتلى الإِملاقِ مِنَ الرِّمَمِ,مَلِكٌ أَحيا بِمَواهِبِهِ,المتدارك,ابن المقرب العيوني
وَأَنارَ بِساطِعِ سُؤدَدِهِ لِذَوي الأَملاكِ دُجى الظُلَمِ,لِذَوي الأَملاكِ دُجى الظُلَمِ,وَأَنارَ بِساطِعِ سُؤدَدِهِ,المتدارك,ابن المقرب العيوني
وَأَقامَ بِحُسنِ سِياسَتِهِ شُوسَ الأَملاكِ عَلى النِّقَمِ,شُوسَ الأَملاكِ عَلى النِّقَمِ,وَأَقامَ بِحُسنِ سِياسَتِهِ,المتدارك,ابن المقرب العيوني
وَأَذَمَّ لِمَن أَضحى بِحِبا هُ عَلى الأَيّامِ فَلَم يَرِمِ,هُ عَلى الأَيّامِ فَلَم يَرِمِ,وَأَذَمَّ لِمَن أَضحى بِحِبا,المتدارك,ابن المقرب العيوني
مَلكٌ تَختالُ قُرى البَحرَي نِ بِهِ في الحُسنِ عَلى إِرَمِ,نِ بِهِ في الحُسنِ عَلى إِرَمِ,مَلكٌ تَختالُ قُرى البَحرَي,المتدارك,ابن المقرب العيوني
نَدِسٌ رَدِسٌ شَكِسٌ مَكِسٌ شَرِسٌ مَرِسٌ وافي الذِمَمِ,شَرِسٌ مَرِسٌ وافي الذِمَمِ,نَدِسٌ رَدِسٌ شَكِسٌ مَكِسٌ,المتدارك,ابن المقرب العيوني
لَهِجٌ بَهِجٌ بِفَواضِلِهِ سَمحٌ طَمحٌ عَالي الهِمَمِ,سَمحٌ طَمحٌ عَالي الهِمَمِ,لَهِجٌ بَهِجٌ بِفَواضِلِهِ,المتدارك,ابن المقرب العيوني
يَسِرٌ عَسِرٌ فَرِحٌ تَرِحٌ وَالخَيلُ تَعَثَّرُ بِاللِّمَمِ,وَالخَيلُ تَعَثَّرُ بِاللِّمَمِ,يَسِرٌ عَسِرٌ فَرِحٌ تَرِحٌ,المتدارك,ابن المقرب العيوني
سَل عَنهُ غَداةَ الصَخرِ وَقَد جاءَت تَتَبارى في اللُجُمِ,جاءَت تَتَبارى في اللُجُمِ,سَل عَنهُ غَداةَ الصَخرِ وَقَد,المتدارك,ابن المقرب العيوني
شُعثاً تَحمِلنَ أُسُودَ شَرىً في غابِ القَسطَلِ لا الأُجُمِ,في غابِ القَسطَلِ لا الأُجُمِ,شُعثاً تَحمِلنَ أُسُودَ شَرىً,المتدارك,ابن المقرب العيوني
يَتبَعنَ هُماماً صَولَتُهُ تَسطُو بِالأَرعَنِ ذِي الشَمَمِ,تَسطُو بِالأَرعَنِ ذِي الشَمَمِ,يَتبَعنَ هُماماً صَولَتُهُ,المتدارك,ابن المقرب العيوني
غَمَرَ المَسلُوبَ بِها سَحَراً سَيلٌ يَحكي سَيلَ العَرِمِ,سَيلٌ يَحكي سَيلَ العَرِمِ,غَمَرَ المَسلُوبَ بِها سَحَراً,المتدارك,ابن المقرب العيوني
رَجَفَت مِن وَقعِ سَنابِكِها غِيطانُ البَرِّ مَعَ الأُكُمِ,غِيطانُ البَرِّ مَعَ الأُكُمِ,رَجَفَت مِن وَقعِ سَنابِكِها,المتدارك,ابن المقرب العيوني
لَولا حَملاتُ عِمادِ الدِّي نِ عَلى الأَبطالِ بِلا سَأَمِ,نِ عَلى الأَبطالِ بِلا سَأَمِ,لَولا حَملاتُ عِمادِ الدِّي,المتدارك,ابن المقرب العيوني
لَغَدَت وَالنَصرُ مُقارِنُها تَستاقُ الشاءَ مَعَ النَعَمِ,تَستاقُ الشاءَ مَعَ النَعَمِ,لَغَدَت وَالنَصرُ مُقارِنُها,المتدارك,ابن المقرب العيوني
لَكِن ما زالَ يِجالِدُهُم ضَرباً بِمُهنَّدِهِ الخَذِمِ,ضَرباً بِمُهنَّدِهِ الخَذِمِ,لَكِن ما زالَ يِجالِدُهُم,المتدارك,ابن المقرب العيوني
حَتّى رَجَعُوا وَوِطابُهُمُ صَفِرٌ يَقفُونَ هَلا بِلَمِ,صَفِرٌ يَقفُونَ هَلا بِلَمِ,حَتّى رَجَعُوا وَوِطابُهُمُ,المتدارك,ابن المقرب العيوني
كانَت لَولاهُ بَنُو عَيلا نَ كَلَحمٍ رُضَّ عَلى وَضَمِ,نَ كَلَحمٍ رُضَّ عَلى وَضَمِ,كانَت لَولاهُ بَنُو عَيلا,المتدارك,ابن المقرب العيوني
مَنَعَ الجُلّابَ وَما جَلَبُوا فَلَهُ فيهِم أَسنى النِعَمِ,فَلَهُ فيهِم أَسنى النِعَمِ,مَنَعَ الجُلّابَ وَما جَلَبُوا,المتدارك,ابن المقرب العيوني
خُلِقَت لِلنَصلِ أَنامِلُهُ وَالبَذلِ الشامِلِ وَالقَلَمِ,وَالبَذلِ الشامِلِ وَالقَلَمِ,خُلِقَت لِلنَصلِ أَنامِلُهُ,المتدارك,ابن المقرب العيوني
فَالنَصلُ لِأَهلِ عَداوَتِهِ وَلِكُلِّ لَهاةٍ كَالأطُمِ,وَلِكُلِّ لَهاةٍ كَالأطُمِ,فَالنَصلُ لِأَهلِ عَداوَتِهِ,المتدارك,ابن المقرب العيوني
وَالبَذلُ لِأَهلِ مَوَدَّتِهِ وَأَخٍ في اللَهِ وَذي رَحِمِ,وَأَخٍ في اللَهِ وَذي رَحِمِ,وَالبَذلُ لِأَهلِ مَوَدَّتِهِ,المتدارك,ابن المقرب العيوني
وَيُشيرُ إِلى القَلَمِ المَيمُو نِ بِما يُنشِيهِ مِنَ الحِكَمِ,نِ بِما يُنشِيهِ مِنَ الحِكَمِ,وَيُشيرُ إِلى القَلَمِ المَيمُو,المتدارك,ابن المقرب العيوني
فَإِلَيكَ أَبا المَنصُورِ عُقُو دَ لآلي الدُرِّ المُنتَظِمِ,دَ لآلي الدُرِّ المُنتَظِمِ,فَإِلَيكَ أَبا المَنصُورِ عُقُو,المتدارك,ابن المقرب العيوني
جاءَت بِكراً مِن نَظمِ فَتىً في وُدِّكَ لَيسَ بِمُتَّهَمِ,في وُدِّكَ لَيسَ بِمُتَّهَمِ,جاءَت بِكراً مِن نَظمِ فَتىً,المتدارك,ابن المقرب العيوني
يُثني بِلسانِ الصِدقِ علَيـ ـكَ ثَناءَ الوامِقِ ذِي اللَزَمِ,ـكَ ثَناءَ الوامِقِ ذِي اللَزَمِ,يُثني بِلسانِ الصِدقِ علَيـ,المتدارك,ابن المقرب العيوني
وَيَمُتُّ بِأَرحامٍ وَشَجَت مِن عِيصِكَ ذِي لَحمٍ وَدَمِ,مِن عِيصِكَ ذِي لَحمٍ وَدَمِ,وَيَمُتُّ بِأَرحامٍ وَشَجَت,المتدارك,ابن المقرب العيوني
فَبَقيتَ بَقاءَ الدَهرِ وَرُحـ ـنَ لَكَ الأَيّامُ مِنَ الخَدَمِ,ـنَ لَكَ الأَيّامُ مِنَ الخَدَمِ,فَبَقيتَ بَقاءَ الدَهرِ وَرُحـ,المتدارك,ابن المقرب العيوني
ببسيطِ العالمِ تعتضِدُ وعلى معبودكَ تعتمدُ,وعلى معبودكَ تعتمدُ,ببسيطِ العالمِ تعتضِدُ,المتدارك,أبو العباس الجراوي
ماضرَّ عُلاكَ وقد بهرت من يحجبُهُ عنها الرمَدُ,من يحجبُهُ عنها الرمَدُ,ماضرَّ عُلاكَ وقد بهرت,المتدارك,أبو العباس الجراوي
شقيَ الأعداءُ وإن حسبوا بمروقِهِم أن قد سعدُوا,بمروقِهِم أن قد سعدُوا,شقيَ الأعداءُ وإن حسبوا,المتدارك,أبو العباس الجراوي
وردُوا غدرانَ الغدرِ وَلا صدرٌ عنهُنَّ لمن يَرِدُ,صدرٌ عنهُنَّ لمن يَرِدُ,وردُوا غدرانَ الغدرِ وَلا,المتدارك,أبو العباس الجراوي
كفروا لما كثروا وزَكَت أموالُهُم ونما العدَدُ,أموالُهُم ونما العدَدُ,كفروا لما كثروا وزَكَت,المتدارك,أبو العباس الجراوي
نعمٌ رُزِقَت نعماً فطغت وبغت فأتيحَ لها الأسدُ,وبغت فأتيحَ لها الأسدُ,نعمٌ رُزِقَت نعماً فطغت,المتدارك,أبو العباس الجراوي
ما غرَّهُمُ بهزبرِ وغىً حلقُ الماذيِّ لهُ لِبَدُ,حلقُ الماذيِّ لهُ لِبَدُ,ما غرَّهُمُ بهزبرِ وغىً,المتدارك,أبو العباس الجراوي
أسدٌ تنقادُ لهُ الآسا دُ كما تنقادُ لها الفُهُدُ,دُ كما تنقادُ لها الفُهُدُ,أسدٌ تنقادُ لهُ الآسا,المتدارك,أبو العباس الجراوي
تذكو نيرانُ حفيظتِهِ فيكادُ يذوبُ لها الزرَدُ,فيكادُ يذوبُ لها الزرَدُ,تذكو نيرانُ حفيظتِهِ,المتدارك,أبو العباس الجراوي
فلهُ من عزمتِهِ عَدَدٌ ولهُ من نجدتِهِ عُدَدُ,ولهُ من نجدتِهِ عُدَدُ,فلهُ من عزمتِهِ عَدَدٌ,المتدارك,أبو العباس الجراوي
يلقى الأبطالَ فينقضُ ما عقدوا ويناقِضُ ما اعتقدُوا,عقدوا ويناقِضُ ما اعتقدُوا,يلقى الأبطالَ فينقضُ ما,المتدارك,أبو العباس الجراوي
فدمٌ دفعٌ وطلى بددٌ وظباً قددٌ وقناً قصدُ,وظباً قددٌ وقناً قصدُ,فدمٌ دفعٌ وطلى بددٌ,المتدارك,أبو العباس الجراوي
يثقُ الأرضيُّ بصحبتِهِ إن العلويَّ لهُ مددُ,إن العلويَّ لهُ مددُ,يثقُ الأرضيُّ بصحبتِهِ,المتدارك,أبو العباس الجراوي
ذخرَ الأملاكُ وأنتَ أبا يعقوبَ تجودُ بما تجدُ,يعقوبَ تجودُ بما تجدُ,ذخرَ الأملاكُ وأنتَ أبا,المتدارك,أبو العباس الجراوي
يعدونَ ولا يوفُونَ بما وعدوا وتجودُ ولا تعِدُ,وعدوا وتجودُ ولا تعِدُ,يعدونَ ولا يوفُونَ بما,المتدارك,أبو العباس الجراوي
جمعت كفاكَ ندىً وردى فتصوبُ يدٌ وتصولُ يدث,فتصوبُ يدٌ وتصولُ يدث,جمعت كفاكَ ندىً وردى,المتدارك,أبو العباس الجراوي
أصفيتَ العيشَ لا كدرٌ وأقمتَ الدينَ فلا أودُ,وأقمتَ الدينَ فلا أودُ,أصفيتَ العيشَ لا كدرٌ,المتدارك,أبو العباس الجراوي
لو قلتُ بأنكَ أوقرُ من أحدٍ مما نازعني أحدُ,أحدٍ مما نازعني أحدُ,لو قلتُ بأنكَ أوقرُ من,المتدارك,أبو العباس الجراوي
لم تأتِ بمشبهكَ الأيا مُ ولا ولدتُه ولا تلدُ,مُ ولا ولدتُه ولا تلدُ,لم تأتِ بمشبهكَ الأيا,المتدارك,أبو العباس الجراوي
ما كذبَ فيكَ فِراسَتَهُ ملكٌ للعالمِ منتقدُ,ملكٌ للعالمِ منتقدُ,ما كذبَ فيكَ فِراسَتَهُ,المتدارك,أبو العباس الجراوي
ملكٌ أنوارُ بصيرتِهِ ومناقِبُهُ سُرُجٌ تَقِدُ,ومناقِبُهُ سُرُجٌ تَقِدُ,ملكٌ أنوارُ بصيرتِهِ,المتدارك,أبو العباس الجراوي
أثوابُ الدينِ بهِ جُدُدٌ وسبيلُ الحقِّ لهُ جددُ,وسبيلُ الحقِّ لهُ جددُ,أثوابُ الدينِ بهِ جُدُدٌ,المتدارك,أبو العباس الجراوي
لما ضاقت ووهت حجبي فظننت بأني غير نجي,فظننت بأني غير نجي,لما ضاقت ووهت حجبي,المتدارك,ابن مليك الحموي
ناديت وصبحي لم يعج اشتدي ازمة تنفرجي,اشتدي ازمة تنفرجي,ناديت وصبحي لم يعج,المتدارك,ابن مليك الحموي
قد آذن ليلك بالبلج وذا اشتدت وعلا رهج,وذا اشتدت وعلا رهج,قد آذن ليلك بالبلج,المتدارك,ابن مليك الحموي
ودجا ما كان به بلج فاصبر فالضيق له فرج,فاصبر فالضيق له فرج,ودجا ما كان به بلج,المتدارك,ابن مليك الحموي
وظلام الليل له سرج حتى يغشاه ابو السرج,حتى يغشاه ابو السرج,وظلام الليل له سرج,المتدارك,ابن مليك الحموي
دعها تجري فلها قدر والكل وقت معتبر,والكل وقت معتبر,دعها تجري فلها قدر,المتدارك,ابن مليك الحموي
ورياح الجود لها نشر وسحاب الخير لها مطر,وسحاب الخير لها مطر,ورياح الجود لها نشر,المتدارك,ابن مليك الحموي
فإذا جاء الابان تجي قسما ما تم لنا عمل,قسما ما تم لنا عمل,فإذا جاء الابان تجي,المتدارك,ابن مليك الحموي
وعن التفصيل بنا ملل او كيف يخيب لنا امل,او كيف يخيب لنا امل,وعن التفصيل بنا ملل,المتدارك,ابن مليك الحموي
وفوائد مولانا جمل لشروح الانفس والمهج,لشروح الانفس والمهج,وفوائد مولانا جمل,المتدارك,ابن مليك الحموي
اكرم في الجود بها مددا نعما لم نحص لها عددا,نعما لم نحص لها عددا,اكرم في الجود بها مددا,المتدارك,ابن مليك الحموي
منها يتضوع نشر هدى ولها ارج محيي ابدا,ولها ارج محيي ابدا,منها يتضوع نشر هدى,المتدارك,ابن مليك الحموي
فاقصد محيا ذاك الارج ان عز مرام او اعيا,ان عز مرام او اعيا,فاقصد محيا ذاك الارج,المتدارك,ابن مليك الحموي
او جف ترى تلك الاحيا او غاض سحاب سما العليا,او غاض سحاب سما العليا,او جف ترى تلك الاحيا,المتدارك,ابن مليك الحموي
فلربتما فاض المحيا ببحور الموج من اللجج,ببحور الموج من اللجج,فلربتما فاض المحيا,المتدارك,ابن مليك الحموي
قسم الاشياء بسرمده فسعيد ذا لتعبده,فسعيد ذا لتعبده,قسم الاشياء بسرمده,المتدارك,ابن مليك الحموي
وشقي ذا لتبعده والخلق جميعا في يده,والخلق جميعا في يده,وشقي ذا لتبعده,المتدارك,ابن مليك الحموي
فذوو سعة وذوو حرج وكذاك الناس جميعهم,وكذاك الناس جميعهم,فذوو سعة وذوو حرج,المتدارك,ابن مليك الحموي
لنهار الحشر رجوعهم عاصيهم ثم مطيعهم,عاصيهم ثم مطيعهم,لنهار الحشر رجوعهم,المتدارك,ابن مليك الحموي
ونزولهم وطلوعهم فإلى درك وعلى درج,فإلى درك وعلى درج,ونزولهم وطلوعهم,المتدارك,ابن مليك الحموي
سادت بعلاه مراتبهم وصفت برضاه مشاربهم,وصفت برضاه مشاربهم,سادت بعلاه مراتبهم,المتدارك,ابن مليك الحموي
ونمت بهداه مكاسبهم ومعائشهم وعواقبهم,ومعائشهم وعواقبهم,ونمت بهداه مكاسبهم,المتدارك,ابن مليك الحموي
