Poem_Line,Mater
but now the scales have fallen from my eyes,Iambic
The man's a pirate and a charlatan,Iambic
Inventor?  Him?,Iambic
I'll tell you Edison did not invent,Iambic
the light bulb   that's what he employed me for,Iambic
who'd made a working lamp some years before,Iambic
What is he good at? He's a patent mill!,Iambic
(except that dentists never put their name,Iambic
on what they've pulled) The man has got no shame,Iambic
I think he's met his match in Westinghouse,Iambic
The so called war of currents Who will win?,Iambic
He'd kill his grandma,Iambic
Hence this all time low,Iambic
misguided  Alva has no other cause,Iambic
beyond himself Those motion picture things,Iambic
are here for Alva's glory When the blow,Iambic
whose self promoting hand was on the tiller,Iambic
Saint Thomas Alva Edison's a killer,Iambic
A symphony of praise and jubilee,Iambic
Celestial ones with rapture danced and sang,Iambic
And rainbow hues burst forth with joyous glee,Iambic
Your tiny form I cradled to my chest,Iambic
The joy that thrilled our hearts could not be stilled,Iambic
As parents well we knew how we’d been blessed,Iambic
You are the beauty of a starlit night,Iambic
You are the gentle warmth of setting sun,Iambic
You are the wonder of Aurora’s light,Iambic
You know the course you want your life to take,Iambic
You have the will and strength to travel far,Iambic
Speak out and use your voice to leave your mark,Iambic
Let inner light burn bright don’t lose that spark,Iambic
A bed of roses life will never be,Iambic
Yet be a fragrant rose of rarest hue,Iambic
Your beauty let the worthy hearted see,Iambic
Don’t be afraid to bloom in colors true,Iambic
Be sure my love will help you find your way,Iambic
The masked intruder burst through my front door,Iambic
Fear moved my legs prayer led me to a place,Iambic
to hide From my safe vantage point I saw,Iambic
him re enter my house He robbed me blind,Iambic
I wrote of this when feelings were still raw,Iambic
will be in Heaven for eternity,Iambic
The Lord has promised immortality,Iambic
It’s not because of any good I’ve done,Iambic
or any battle I have bravely won—,Iambic
They write poems for fun and not for fame ,Iambic
greeting card dribble just isn’t their game,Iambic
but whatever they write they do their best ,Iambic
and the trite expressions some might praise,Iambic
Poems of substance are their best fare ,Iambic
while those written in jest are fun to share,Iambic
and their symbolisms too are usually direct,Iambic
even though some readers prefer them best,Iambic
They can write formal verse or in free style ,Iambic
iambic pentameter too if it makes one smile,Iambic
without resorting to vulgarities for the above,Iambic
but need be neither obscene nor profane,Iambic
it’s the poems they read from which they learn,Iambic
even if scarce others it seems to excite,Iambic
Diverse forms of poetic expression ,Iambic
from all they try to derive a lesson,Iambic
Somehow   I always know when Spring will come ,Iambic
By the fragrance of lilacs in the sun ,Iambic
Their trembling buds awake beside my fench ,Iambic
Until the daylight comes around to warm ,Iambic
Each perfumed spray Not one frostbite must harm ,Iambic
These eternal florae     of bridal white ,Iambic
And rosy pink immortal in  delight ,Iambic
The diamond leaves  are unfurling now ,Iambic
And pearly mist that glides on wind's showers ,Iambic
One lustrous melody to worship morn ,Iambic
A view of  forever    I'll also see ,Iambic
This holy radiance  spring's lilac tree ,Iambic
You who hunts my dreams when I an awake,Dactyl
Sweep my touches softly from your skin,Dactyl
But know that it will become so thin,Dactyl
And then wave me goodbye,Dactyl
Ill bow mull think am just shy,Dactyl
Until you will see these drops falling in the yellow grass,Dactyl
Have you been in love?,Dactyl
Have you shared a kiss?,Dactyl
Have you ever got a hug?,Dactyl
Have you ever gone thru all of ,Dactyl
this?,Dactyl
I have bitterness inside of ,Dactyl
I have nothing and noone to ,Dactyl
be with!,Dactyl
A lonely heart is like being ,Dactyl
sick,Dactyl
A lonely man is a walking ,Dactyl
dead,Dactyl
A lonely soul is trying hard to ,Dactyl
reach,Dactyl
A lonely friend is asking your ,Dactyl
help,Dactyl
Will you not open your heart ,Dactyl
for me?,Dactyl
Will you not give me your ,Dactyl
tender touch?,Dactyl
Will you not kiss and make ,Dactyl
me ,Dactyl
happy?,Dactyl
Will you not love freely and ,Dactyl
come to me?,Dactyl
Incomprehensible! (A Brief Critique),Dactyl
wrote in The Waste Land a Lyrical Lay,Dactyl
Sadly for those of us hollow like other men,Dactyl
Incomprehensible! Take it away!,Dactyl
Heavens to Murgatroyd! After four symphonies ,Dactyl
more could be asked of me? Da Da Da Dum,Dactyl
Fiddlede diddlede,Dactyl
slew all the fellas  not,Dactyl
lifting a hand,Dactyl
'Cepting Rhett Butler proved,Dactyl
Incomprehensible,Dactyl
don't give a damn!,Dactyl
A big baseball player on pitch,Dactyl
Developed a strange kind of itch:,Dactyl
The ball flew up straight,Dactyl
So he blamed the whole thing on a witch!,Dactyl
When Mothering Day comes on Sunday,Dactyl
Though she sends us to school on a Monday!,Dactyl
We're singing the song of the sleigh ,Dactyl
SO SHOUT OUT FOR THIS XMAS DAY!,Dactyl
What a name called? ,Dactyl
At moment of a country designated! ,Dactyl
At moment of a country authorized! ,Dactyl
Football! football! ! football! ! ! ,Dactyl
A rounded leather circled! ,Dactyl
The Victor,Dactyl
Left someone else to bathe in pride?,Dactyl
Raid the Capitol's treasury?,Dactyl
like Bambi caught in the sights of a hunter's gun,Dactyl
life sometimes ain't any phun,Dactyl
like never gaining permission to be what you want to be,Dactyl
life can often leave you less than feeling free,Dactyl
like the nine to five can often be a burden,Dactyl
life often curses you one to hide behind a curtain,Dactyl
and of all these things i am very certain,Dactyl
like a master with a whip ordering you what to do,Dactyl
life can often seem like a disorganized zoo,Dactyl
like walking through a desert can leave you with an unquenchable thirst,Dactyl
life can make you come in last instead of first,Dactyl
and so one feels thus to be caustically cursed,Dactyl
like so many wasted amens go unheard by the lord,Dactyl
and remorse causes only vengeance and discord,Dactyl
life can often leave one disenchanted and bored,Dactyl
but one must perservere,Dactyl
the way Bambi ambles through the woods with fear,Dactyl
and suffers what he thinks he cannont bear,Dactyl
and so i tell you dear on this paricular day,Dactyl
i must leave you now without an adieu or delay,Dactyl
I left so much behind,Dactyl
That’s what one does when one is losing his or her mind,Dactyl
I left without so much as a final goodbye,Dactyl
That’s what one does when one has an option other than to die,Dactyl
And refuses to listen to one more lascivious lie,Dactyl
To drink him or herself into oblivion,Dactyl
Oblivious to the fact that destiny is dying at his or her bedside,Dactyl
Because fate lied,Dactyl
And forever was an ill conceived concept from the start,Dactyl
Heaved from the heart of heaven and the breath of an angel unseen,Dactyl
But suddenly pragmatic pain replaced the once pristine,Dactyl
And pain is never induced nor seduced to become thus so kind,Dactyl
And that’s why I left so much behind ,Dactyl
Adelaide adored me,Dactyl
Ingrid ignored me,Dactyl
Adelaide and I made quite an odd pair,Dactyl
Yet Ingrid had silver silken threads instead of hair,Dactyl
Looking up to a cloud laden sky I prayed to heaven for Ingrid’s heavenly pleasure,Dactyl
Looking up to a syrupy and sunny sky I begged God that I might discover Ingrid’s,Dactyl
buried treasure,Dactyl
A female fortune sealed in a locker by two silent lips and secreted between two,Dactyl
sultry hips,Dactyl
But in the material that makes up time some fabric often frays while a seam,Dactyl
sometimes rips,Dactyl
And even an expensive faucet drips,Dactyl
With assurance I assign Ingrid as an extravagant and excellent source of radiance,Dactyl
to beheld by me ,Dactyl
And oh to be held by her,Dactyl
To meld with her,Dactyl
As my desire swelled and I swooned to a lady attuned to and beholden to beauty,Dactyl
But as for Adelaide I found her ignorant and distasteful for ignoring and boring me,Dactyl
Whatever she chose to discuss would disgust me with distinguishable diatribes ,Dactyl
sequential and inconsequential subject,Dactyl
If my body is a temple it’s been potently polluted,Dactyl
And if my soul is a church it’s doctrine has been desperately disputed,Dactyl
My head tries to convince me that life can’t get any worse ,Dactyl
Yesterday consistently comes back to inflict me with a bite in my ass,Dactyl
While tomorrow constantly arrives to infect an already festering wound,Dactyl
But my pillow may as well be a sedimentary stone,Dactyl
And still my head and heart won’t leave me alone,Dactyl
While I try in empty desperation to silence a dreadful drone,Dactyl
The sound of my head haunted by a moan,Dactyl
With a heart which heaves a grievous groan,Dactyl
My bedroom is a cell with bars too well known,Dactyl
And hopefulness is drowned out by a tormenting tone,Dactyl
With uncertainty a most horrendous curse,Dactyl
and the gates of tomorrow,Dactyl
And here sit I under a shadow cast by my past and the dissatisfaction of sorrow,Dactyl
While even in silence I can quote sinfulness by chapter and verse,Dactyl
Can we play vets?,Dactyl
Yes Abbie,Dactyl
My Tiger is ill,Dactyl
He swallowed some stones,Dactyl
Yes Abbie ,Dactyl
Will you take them out?,Dactyl
17 stones,Dactyl
There were 20 Nanny,Dactyl
Love you Abbie ,Dactyl
Love you Nanny,Dactyl
In the heart of the rock,Dactyl
In the depth of the sea,Dactyl
In the room with the lock,Dactyl
At the end of the lea,Dactyl
Is the key to the gate,Dactyl
To the room of your gold,Dactyl
And the knob to your fate ,Dactyl
An event to behold!,Dactyl
I can put things together,Dactyl
Sometimes I'm on what you wear,Dactyl
Sometimes on things,Dactyl
Sometimes I get stuck and you get mad at me,Dactyl
Its not often for me to break ,Dactyl
I'm made out of metal,Dactyl
Six is perfect because its even ,Dactyl
Six is the number of cheeseburges my dad gets at Mcdonalds,Dactyl
Without six we would no have sixth birthday ,Dactyl
Six sounds like sick,Dactyl
Six is like how many pecues of hair my uncle has,Dactyl
Six is like how many words are in orange without them we would noy have orange,Dactyl
Hello! Mars!,Dactyl
Are you there?,Dactyl
We got some money for you down here!,Dactyl
Do you need some foreign aid,Dactyl
I tell you what we'll do,Dactyl
there's lots of money comin in,Dactyl
we'll beam some up to you!,Dactyl
And if you need some more someday,Dactyl
our address is NASA BLACK HOLE dot guv,Dactyl
where we can throw our money in,Dactyl
all day and never go broke!,Dactyl
NASA have spoke!      ,Dactyl
mo money$ mo money$ mo money$,Dactyl
Woe is me woe is me,Dactyl
Romeo Montague ,Dactyl
loved Julie Capulet,Dactyl
but in the end it seems,Dactyl
lovers so torn between,Dactyl
interfamilial,Dactyl
Hearts to you hearts to you,Dactyl
What can be said about,Dactyl
Valentines day that's not,Dactyl
been said before?,Dactyl
Only to say that I ,Dactyl
love you so much that I,Dactyl
uncatagorically,Dactyl
Hap i ty Birth a day,Dactyl
many long years ago,Dactyl
then was a guy named Sid,Dactyl
Now on this special day,Dactyl
everyone celebrates,Dactyl
incontrovertably,Dactyl
Chuzzlewit Chuzzlewit,Dactyl
Nicolas Nickleby,Dactyl
And more of their kind,Dactyl
Dickensiania,Dactyl
It is all in the mind,Dactyl
so you rush through your day and can't wait to get home ,Dactyl
in just one sec she was caught in a terrible disaster ,Dactyl
for just ten dollars her life was what it's worth ,Dactyl
and i want you all to know this ,Dactyl
,Dactyl
Life is worth it,Dactyl
When I live for you,Dactyl
It’s how I know that this is love proven true,Dactyl
But there you fly now in the sky,Dactyl
Showing me that differences and flaws,Dactyl
Is coexistence in each other,Dactyl
Celebrate them don’t use them as a weakness,Dactyl
Because in doing that you show weakness in yourself,Dactyl
Show some respect to them ,Dactyl
For they are to be cared for ,Dactyl
Then why is it no one ever does,Dactyl
Do they not see the pain? ,Dactyl
With every dying cuss ,Dactyl
So let the pain engulf me ,Dactyl
Teach my eyes to see,Dactyl
Let a fallen angel come to curse me,Dactyl
Let my cuts come to bleed ,Dactyl
Evil engulfing my broken heart yet falling deep in love ,Dactyl
When everything turns to turmoil ,Dactyl
I turn to my angel from above ,Dactyl
Let my heart come to boil,Dactyl
In the ashes of my innocence ,Dactyl
Letting myself go until I fully reach out to fellow brethren s ,Dactyl
Praying with no feeling I can feel myself slip away,Dactyl
I’m falling yet falling apart ,Dactyl
Without the slightest of delays ,Dactyl
Birth was a mistake and yet I cannot come to die,Dactyl
Was it true that I am meant to live?  ,Dactyl
A man who only knows to cry ,Dactyl
I cannot give,Dactyl
The light has forsaken my cold and darkened heart,Dactyl
For who am I to live ,Dactyl
Cold and fruitless moon why have you forsaken me,Dactyl
Does it bring you joy to see that you are breaking me,Dactyl
Listen to the cold and broken winds ,Dactyl
Nothing can ever beat it,Dactyl
Nor can I defend,Dactyl
a less than perfect messiah talks a ,Dactyl
 i was chosen at the wrong time,Dactyl
so very tall and thin the prophets of ,Dactyl
propaganda who walk through the city ,Dactyl
with ,Dactyl
Tickety Tockety!,Dactyl
Jason the Clockwatcher,Dactyl
Has eight more hours until,Dactyl
Temporal oddities!,Dactyl
Unsynchronology!,Dactyl
Mentally done but just,Dactyl
Baby in my dreams you were my only desire,Dactyl
In my life till now you have been my one inspire,Dactyl
In my heart I hold this love so open and strong,Dactyl
I have never thought of anyone else all yearlong,Dactyl
When you are far no where near out of touch,Dactyl
At night I've never dreamed of anyone this much,Dactyl
When you're close and I feel your gentle kiss,Dactyl
And when you leave its all of you that I miss,Dactyl
In your heart and soul I will forever confide,Dactyl
Baby in our time together we could never divide,Dactyl
Its your everything that makes my life complete,Dactyl
Its everything we share that makes me heart beat,Dactyl
Baby your name is engraved on my heart,Dactyl
My heart longs for you each time you depart,Dactyl
And honey I will never hurt you or try to break,Dactyl
Baby I'll never disown you or cause you to ache,Dactyl
You're my everything that will forever remain,Dactyl
Our love story would be so easy to explain,Dactyl
Limerick Gimmerick,Dactyl
Jason of Pendleton,Dactyl
Tried double dactyls while,Dactyl
Uh oh spaghetti o!,Dactyl
They're all bass ackwards cuz,Dactyl
He's used to anapest,Dactyl
when will you dime store poets get it through your head,Dactyl
i can outwrite most of you whilst asleep in my bed,Dactyl
you want to write about daisies and wildflowers,Dactyl
while i write about soldiers dying by the hours,Dactyl
when will the people who read me pass on the word,Dactyl
tell them to read the genius of a poet you just heard,Dactyl
advise them to sit down and learn from a master of the art,Dactyl
i can sit down and in ten minutes scribe words so  wise,Dactyl
while you all read me with jaundiced eyes,Dactyl
yellow from the disease of not really givIng a damn,Dactyl
when a handfull of poets as talented as me know most of you are a sham,Dactyl
so write about your latest take on betty crocker,Dactyl
while i write and bop to the great joe cocker,Dactyl
if there comes a time when you realize the wisdom i dispense,Dactyl
perhaps a few of you might fall off your self rigteous fence,Dactyl
Wiggley jiggeldy,Dactyl
Beyonce Giselle,Dactyl
Belted the blues but,Dactyl
“Dreamgirls” was successful,Dactyl
Supra astoundingly,Dactyl
Like her baby within,Dactyl
Fuzzily Wuzzily,Dactyl
Benjamin Gib a ney,Dactyl
Grew him a beard which was ,Dactyl
Then he found out he had ,Dactyl
This is the best time of the day and I will,Dactyl
The terrace is full of fallen flowers and ,Dactyl
All traces of summer will be gone and,Dactyl
But I shall sleep easily in my bed as long as,Dactyl
And I will think how lucky I’m and hope ,Dactyl
Flibbety Shibbety,Dactyl
Gwendolyn Geritrude,Dactyl
Blackened the windows with,Dactyl
Neighborly aesthetic,Dactyl
peri precautiously,Dactyl
people all decided,Dactyl
Robert Dixon,Dactyl
I went along even though she wanted to rule,Dactyl
She forgave me for being such an ungrateful fool,Dactyl
We both thought we had settled the score’,Dactyl
She got a boyfriend and I got a whore,Dactyl
She crossed the proverbial street by design,Dactyl
But I crossed the god forsaken line,Dactyl
She did what she did due to a hormone,Dactyl
I did what I did because of testosterone,Dactyl
It was a game of tit for tat and all that,Dactyl
I cursed once more with a tip  o’ my hat,Dactyl
Her only solution was retribution,Dactyl
But I didn’t need her nor her absolution,Dactyl
She was clever but I was mo**er fu**ing brilliant,Dactyl
Women get weary but us men are resilient,Dactyl
What counts is being able to bounce right back,Dactyl
And not  lose what you have and find what you lack,Dactyl
she was no saint  but I was a sinner,Dactyl
And as it turned out there was really no winner,Dactyl
I still remember the day a bolt of lightning split us apart,Dactyl
Yet she will always be a part of my tear stained  heart,Dactyl
Ouchica grouchica,Dactyl
Monica Hunt Summers,Dactyl
Freed of staid husband her,Dactyl
Eyes flashing bright,Dactyl
Sashayed to Florida,Dactyl
Ultra spontaneously,Dactyl
Surveyed the options and,Dactyl
Gluggamous fluggamous,Dactyl
Grandfather Thaddeus,Dactyl
went to the grocery store,Dactyl
bought him a lime,Dactyl
Home with tequila and,Dactyl
salt coated shot glass he,Dactyl
unceremonious,Dactyl
Spitimy bitimy,Dactyl
Grandma Penelope,Dactyl
done with her work early,Dactyl
One glance at Grandfather,Dactyl
mega monstrosity,Dactyl
Grandma retreated to,Dactyl
Clyde's warm embrace,Dactyl
Newt Gingrich,Dactyl
So loved his country,Dactyl
Whilst berating Bill Clinton,Dactyl
His run for presidency,Dactyl
William Wordseeker,Dactyl
pins on the wall,Dactyl
He likes to say that his,Dactyl
lexicographical,Dactyl
treasure are now,Dactyl
Grinding its bars roughly into its flesh…,Dactyl
Hippety Hoppity,Dactyl
Willowby Wallaby,Dactyl
Bound for Austral i a,Dactyl
Land he called home,Dactyl
Hadn’t the money so ,Dactyl
Aerodynamically ,Dactyl
Wound up in Nome,Dactyl
Nicholas Goalsworthy,Dactyl
Promised again to,Dactyl
Characteristically,Dactyl
Slippery Slappery,Dactyl
Rikki Tikki Tavi,Dactyl
Chased the snake,Dactyl
Down into the hole,Dactyl
Digging deeper,Dactyl
Much like a ,Dactyl
Spelunker,Dactyl
Give,Dactyl
Till it hurts,Dactyl
Give all you’ve got,Dactyl
They will then appreciate you,Dactyl
That lets a person know that you do care,Dactyl
Making them always feel so loved,Dactyl
Giving them new feelings,Dactyl
Then about you,Dactyl
Showing them,Dactyl
Heart,Dactyl
Lets run for the hills is what you said to me but where are you now with another ,Dactyl
girl i,Dactyl
guessed i tell you how i really real and you run from me that is not how it is ,Dactyl
suppose to,Dactyl
work you are suppose to hold me nothing plans out for the better for me people ,Dactyl
think i am,Dactyl
just another troubled teen and just pass me on to some body else i guess that is ,Dactyl
how you,Dactyl
work to what do i do keep starving my self is that  me happiness or just my way,Dactyl
of showing,Dactyl
what you have done to me,Dactyl
All life dims around me,Dactyl
Piggable   Jiggable,Dactyl
Ivan the Terrible,Dactyl
Strangely proposed to ,Dactyl
Made her refuse him,Dactyl
Half a league half a league,Dactyl
Half a league onward,Dactyl
All in the valley of Death ,Dactyl
Rode the six hundred,Dactyl
Forward the Light Brigade,Dactyl
Charge for the guns he said,Dactyl
Into the valley of Death,Dactyl
Just for a handful of silver he left us,Dactyl
Just for a riband to stick in his coat,Dactyl
Found the one gift of which fortune bereft us,Dactyl
Lost all the others she lets us devote,Dactyl
They with the gold to give doled him out silver,Dactyl
So much was theirs who so little allowed,Dactyl
How all our copper had gone for his service,Dactyl
Out of the cradle endlessly rocking,Dactyl
Out of the mockingbird’s throat the musical shuttle,Dactyl
Out of the Ninthmonth midnight ,Dactyl
In the hexameter rises the fountain’s silvery column,Dactyl
In the pentameter aye falling in melody back,Dactyl
Ragswere they purple his heart had been proud,Dactyl
Are you still standing there east of the Garden of Eden or,Dactyl
were you relieved by the flood that revised our geography,Dactyl
Cherubim tasked with protecting the Tree of Life surely you,Dactyl
saw when that tree was returned to us lifting our Lord on it,Dactyl
Were you the same angels posted beside the new tomb with the,Dactyl
body of Jesus the New Tree provided again for us,Dactyl
Was there a man dismayed,Dactyl
Not though the soldier knew,Dactyl
Someone had blundered,Dactyl
Theirs not to make reply,Dactyl
Theirs not to reason why,Dactyl
Theirs but to do and die,Dactyl
Into the valley of Death,Dactyl
Cannon to right of them,Dactyl
Cannon to left of them,Dactyl
Cannon in front of them,Dactyl
Stormed at with shot and shell,Dactyl
Boldly they rode and well,Dactyl
Into the jaws of Death,Dactyl
Into the mouth of hell,Dactyl
Flashed all their sabres bare,Dactyl
Flashed as they turned in air,Dactyl
Sabring the gunners there,Dactyl
Charging an army while,Dactyl
Plunged in the batterysmoke,Dactyl
Right through the line they broke,Dactyl
Cossack and Russian,Dactyl
Reeled from the sabre stroke,Dactyl
Shattered and sundered,Dactyl
Then they rode back but not,Dactyl
Not the six hundredCannon to right of them,Dactyl
Stormed at with shot and shell,Dactyl
While horse and hero fell,Dactyl
They that had fought so well,Dactyl
Back from the mouth of hell,Dactyl
All that was left of them,Dactyl
Left of six hundred,Dactyl
Cannon behind them,Dactyl
Volleyed and thundered,Dactyl
Stormed at with shot and shell,Dactyl
While horse and hero fell,Dactyl
They that had fought so well,Dactyl
Came through the jaws of Death,Dactyl
Back from the mouth of hell,Dactyl
All that was left of them,Dactyl
Left of six hundred,Dactyl
When can their glory fade,Dactyl
O the wild charge they made,Dactyl
All the world wondered,Dactyl
Honour the charge they made,Dactyl
Honour the Light Brigade,Dactyl
Noble six hundred,Dactyl
Higgledy piggledy,Dactyl
Bacon lord Chancellor,Dactyl
Negligent fell for the,Dactyl
Paltrier vice,Dactyl
Bribery toppled him,Dactyl
Bronchopneumonia,Dactyl
Finished him testing some,Dactyl
Poultry on ice,Dactyl
Sometimes the nights are inviting,Dactyl
bringing forth lust that’s exciting,Dactyl
for you are there,Dactyl
Sometimes the days seem made for living,Dactyl
Other times cold and unforgiving,Dactyl
Struggles seem so inconsequential,Dactyl
for you are there,Dactyl
Often as my day unravels,Dactyl
Thinking of you in my travels,Dactyl
I know you care,Dactyl
Sometimes I feel our home’s heaven,Dactyl
for you are there,Dactyl
Once on a gray afternoon I asked o' the bearded ol' miser,Dactyl
Time why so little he gave for the years had been passing me swiftly,Dactyl
Softly then sighing he turned and spoke me these words reprimanding,Dactyl
Youth it is not that I don't give much but that which is given,Dactyl
dies in your care for a day is a seed not to blossom if driven,Dactyl
harsh underfoot If you kill these seeds need I trust in you once more,Dactyl
Truly you squander your time and you let every moment to wither,Dactyl
caring for nothing and doing the same you continue to dither,Dactyl
whereby neglecting to live do you speed down the path to perdition,Dactyl
Nourish those which you have you'll see that I've given you plenty,Dactyl
though ten thousand be granted they cannot compare to just twenty,Dactyl
seeds that take root Go now to your charge and detain me no longer.,Dactyl
Thus did he speak and so left me behind When I looked up ahead I,Dactyl
saw that I'd traveled far but had many more miles to cover,Dactyl
Tyrian sails across stormy seas sailed,Dactyl
and a bold prince they deliver,Dactyl
At every port cheerily he was hailed,Dactyl
as an arrow straight from its quiver,Dactyl
Bade he the pilot to next morn tarry,Dactyl
as he late morn gathered her so true,Dactyl
A pretty queen stolen for he to marry,Dactyl
their dear life in Troy to begin anew,Dactyl
Hoisting ship's tyrian sails and fast away,Dactyl
that morn his mighty ship flew,Dactyl
Blessed they thought that sweet day,Dactyl
our life in Troy together we two,Dactyl
Hearing loving angels sing they wept,Dactyl
hearts united in enchanted glee,Dactyl
Life started a love vow then kept,Dactyl
on to great Troy they both did flee,Dactyl
There by King Priam the son received,Dactyl
far from harm all began rejoicing,Dactyl
Worrying not ire of a Greek king deceived,Dactyl
heedless of dire curses he was voicing,Dactyl
They carried on glowing sweet romance,Dactyl
as vessels carrying a fatal coming doom,Dactyl
About to reap fruits from a daring chance,Dactyl
by ships so packed each had no more room,Dactyl
Vowing and cursing to send Troy to hell,Dactyl
Agamemnon sailed on to Troy's shore,Dactyl
There Homer's storied legend does tell ,Dactyl
how Troy's destruction evens the score,Dactyl
As savage as a king's vengeance may be,Dactyl
there rests a justice in Troy's defeat,Dactyl
For no thief be allowed to safely flee,Dactyl
to enjoy any treasure gained by his cheat,Dactyl
Note No attempt made by me to specifically,Dactyl
copy or dare try to match the majesty and ,Dactyl
splendor of Homer's classic world famous ,Dactyl
tale of the Iliad and the Odyssey,Dactyl
which no man can ever do,Dactyl
The theme was used to present a vastly shorter ,Dactyl
version of death and destruction stealing so,Dactyl
often brings even to innocent peoples,Dactyl
My love for family I do not hide or set high on a wooden shelf,Dactyl
Baubles of life are here having a jot influence over a rime of things,Dactyl
One hawks a sweeter enticement diverting us like a small candy elf,Dactyl
Placed in a closet of my heart it offers now no threat to inner self,Dactyl
Booty that makes us rich seems a bit ornament gaining a shoddy pelf,Dactyl
Family time is togetherness knowing the pleasures it often brings,Dactyl
We talk but nothing unusual like blue and white on ceramic delf,Dactyl
Time for a lady and children as husbands sit talking as royal kings,Dactyl
